latitude	longitude	store_name	code	location	imei
44.31771	9.32241	Chiavari	IT	Europe/Rome	359043379931766510
-8.43333	114.33333	Muncar	ID	Asia/Jakarta	8630330696303481057
8.35122	-62.64102	Ciudad Guayana	VE	America/Caracas	3590433799317662188
58.1908	40.17171	Danilov	RU	Europe/Moscow	863033069630348982
42.28639	18.84	Budva	ME	Europe/Podgorica	8630330696303481636
43.61058	1.33467	Colomiers	FR	Europe/Paris	359043379931766197
45.79377	8.88104	Malnate	IT	Europe/Rome	359043379931766007
-4.24444	-42.29444	Barras	BR	America/Fortaleza	863033069630348362
44.85278	65.50917	Kyzylorda	KZ	Asia/Qyzylorda	3590433799317661644
49.195061	16.606836	Brno	CZ	Europe/Prague	863033069630348362
14.8361	120.97844	Guyong	PH	Asia/Manila	863033069630348305
36.6009	126.665	Hongseong	KR	Asia/Seoul	8630330696303481636
51.39323	0.47713	Strood	GB	Europe/London	359043379931766346
-4.26613	15.28318	Brazzaville	CG	Africa/Brazzaville	3590433799317661917
47.30997	8.52462	Adliswil	CH	Europe/Zurich	3590433799317661024
46.32374	-120.00865	Sunnyside	US	America/Los_Angeles	3590433799317662055
20.74122	-100.44843	Santa Rosa Jauregui	MX	America/Mexico_City	8630330696303482105
2.2139	102.3278	Kampung Ayer Molek	MY	Asia/Kuala_Lumpur	3590433799317662295
41.20485	-8.33147	Paredes	PT	Europe/Lisbon	863033069630348941
0.03813	36.36339	Nyahururu	KE	Africa/Nairobi	359043379931766635
33.93113	-117.54866	Norco	US	America/Los_Angeles	863033069630348602
51.88333	8.51667	Verl	DE	Europe/Berlin	863033069630348792
48.90982	2.45012	Bobigny	FR	Europe/Paris	3590433799317662089
50.23271	12.87117	Karlovy Vary	CZ	Europe/Prague	863033069630348198
41.91886	8.73812	Ajaccio	FR	Europe/Paris	359043379931766155
41.48199	-81.79819	Lakewood	US	America/New_York	8630330696303481503
55.39485	43.83992	Arzamas	RU	Europe/Moscow	359043379931766254
38.91817	-78.19444	Front Royal	US	America/New_York	3590433799317661313
10.63504	-85.43772	Liberia	CR	America/Costa_Rica	3590433799317661511
37.16911	10.03478	El Alia	TN	Africa/Tunis	863033069630348446
40.2737	-76.88442	Harrisburg	US	America/New_York	3590433799317661305
-25.42778	-49.27306	Curitiba	BR	America/Sao_Paulo	3590433799317661990
47.83333	59.6	Shalqar	KZ	Asia/Aqtobe	359043379931766510
23.0072	-82.4017	Boyeros	CU	America/Havana	3590433799317661016
43.96222	43.63417	Novopavlovsk	RU	Europe/Moscow	359043379931766460
54.03876	43.91385	Kovylkino	RU	Europe/Moscow	8630330696303482410
23.9028	89.11943	Kushtia	BD	Asia/Dhaka	863033069630348438
40.37528	28.88222	Mudanya	TR	Europe/Istanbul	863033069630348537
20.21322	-100.88023	Salvatierra	MX	America/Mexico_City	359043379931766155
39.22493	42.85693	Patnos	TR	Europe/Istanbul	8630330696303481628
65.84811	24.14662	Tornio	FI	Europe/Helsinki	863033069630348545
48.35149	8.96317	Hechingen	DE	Europe/Berlin	3590433799317661347
-37.88333	145.06667	Carnegie	AU	Australia/Melbourne	863033069630348867
33.78333	114.51667	Wacheng	CN	Asia/Shanghai	8630330696303481453
25.6439	77.9129	Narwar	IN	Asia/Kolkata	8630330696303481776
45.99194	29.41824	Artsyz	UA	Europe/Kyiv	359043379931766155
21.28306	-89.66123	Progreso	MX	America/Merida	3590433799317661750
48.15659	28.28489	Soroca	MD	Europe/Chisinau	359043379931766445
34.77453	-96.67834	Ada	US	America/Chicago	3590433799317662154
34.95303	-120.43572	Santa Maria	US	America/Los_Angeles	3590433799317662477
27.34089	117.4831	Shaowu	CN	Asia/Shanghai	8630330696303481198
19.8173	-97.35992	Teziutlan	MX	America/Mexico_City	3590433799317661735
52.48173	-2.12139	Brierley Hill	GB	Europe/London	8630330696303481040
38.54491	-121.74052	Davis	US	America/Los_Angeles	3590433799317662337
45.43341	-73.86586	Beaconsfield	CA	America/Toronto	863033069630348446
14.37395	100.48528	Bang Ban	TH	Asia/Bangkok	863033069630348776
-5.41667	38.01667	Chanika	TZ	Africa/Dar_es_Salaam	3590433799317661495
5.27247	-3.59625	Bonoua	CI	Africa/Abidjan	8630330696303481552
42.50729	1.53414	les Escaldes	AD	Europe/Andorra	359043379931766825
22.4711	88.1453	Pujali	IN	Asia/Kolkata	8630330696303481990
42.7392	-84.62081	Waverly	US	America/Detroit	8630330696303481024
-8.66667	-35.71667	Catende	BR	America/Recife	359043379931766767
0.51667	101.44167	Pekanbaru	ID	Asia/Jakarta	3590433799317661008
41.77583	140.73667	Hakodate	JP	Asia/Tokyo	8630330696303481388
6.45407	3.39467	Lagos	NG	Africa/Lagos	8630330696303481792
40.56754	-89.64066	Pekin	US	America/Chicago	3590433799317662261
-8.05389	-34.88111	Recife	BR	America/Recife	359043379931766601
4.88441	101.96857	Gua Musang	MY	Asia/Kuala_Lumpur	359043379931766080
36.06386	4.62744	El Achir	DZ	Africa/Algiers	8630330696303481669
53.16167	6.76111	Hoogezand	NL	Europe/Amsterdam	3590433799317661800
10.63504	-85.43772	Liberia	CR	America/Costa_Rica	3590433799317662113
41.55947	14.66737	Campobasso	IT	Europe/Rome	359043379931766080
41.27621	-72.86843	East Haven	US	America/New_York	3590433799317661552
8.35122	-62.64102	Ciudad Guayana	VE	America/Caracas	8630330696303481362
19.32889	-99.32556	San Lorenzo Acopilco	MX	America/Mexico_City	8630330696303481438
41.50343	-74.01042	Newburgh	US	America/New_York	8630330696303481057
27.09978	-82.45426	Venice	US	America/New_York	3590433799317662105
46.65581	32.6178	Kherson	UA	Europe/Kyiv	3590433799317661818
53.63333	9.85	Halstenbek	DE	Europe/Berlin	359043379931766213
25.6439	77.9129	Narwar	IN	Asia/Kolkata	359043379931766387
18.57677	-72.22625	Croix-des-Bouquets	HT	America/Port-au-Prince	863033069630348289
48.35149	8.96317	Hechingen	DE	Europe/Berlin	863033069630348065
54.58048	16.86194	Ustka	PL	Europe/Warsaw	359043379931766593
35.05266	-78.87836	Fayetteville	US	America/New_York	3590433799317661909
41.91886	8.73812	Ajaccio	FR	Europe/Paris	8630330696303481867
41.85059	-87.882	Westchester	US	America/Chicago	8630330696303482188
16.06213	76.0586	Hungund	IN	Asia/Kolkata	359043379931766064
-1.63333	13.58357	Franceville	GA	Africa/Libreville	3590433799317661180
-27.50578	153.10236	Carindale	AU	Australia/Brisbane	863033069630348537
7.83389	-72.47417	Villa del Rosario	CO	America/Bogota	8630330696303482014
11.12018	76.11996	Manjeri	IN	Asia/Kolkata	863033069630348297
42.67164	14.01481	Roseto degli Abruzzi	IT	Europe/Rome	3590433799317662048
34.08565	74.80555	Srinagar	IN	Asia/Kolkata	3590433799317661834
-28.44917	-52.2	Marau	BR	America/Sao_Paulo	8630330696303481156
20.22816	-103.5687	Zacoalco de Torres	MX	America/Mexico_City	863033069630348040
53.53395	33.72798	Zhukovka	RU	Europe/Moscow	3590433799317661487
13.48082	-86.58208	Somoto	NI	America/Managua	3590433799317661032
-15.675	-38.94722	Canavieiras	BR	America/Bahia	359043379931766692
50.073658	14.418540	Praha	CZ	Europe/Prague	863033069630348057
43.62558	13.39954	Falconara Marittima	IT	Europe/Rome	3590433799317661222
40.5576	-74.28459	Woodbridge	US	America/New_York	8630330696303482428
14.37395	100.48528	Bang Ban	TH	Asia/Bangkok	3590433799317661693
41.14676	-73.49484	New Canaan	US	America/New_York	8630330696303481792
23.15678	-81.24441	Varadero	CU	America/Havana	863033069630348107
50.7236	-3.52751	Exeter	GB	Europe/London	3590433799317661487
43.4125	23.225	Montana	BG	Europe/Sofia	863033069630348214
12.1277	78.15794	Dharmapuri	IN	Asia/Kolkata	8630330696303481123
-2.13404	-79.59415	Milagro	EC	America/Guayaquil	8630330696303481008
7.57944	-8.53778	New Yekepa	LR	Africa/Monrovia	359043379931766999
47.64995	-117.23991	Opportunity	US	America/Los_Angeles	359043379931766551
23.5654	119.58627	Magong	TW	Asia/Taipei	3590433799317662295
1.6561	103.6032	Kulai	MY	Asia/Kuala_Lumpur	3590433799317661446
45.0408	-93.263	Columbia Heights	US	America/Chicago	863033069630348420
6.8485	3.64633	Shagamu	NG	Africa/Lagos	3590433799317662048
-2.90055	-79.00453	Cuenca	EC	America/Guayaquil	3590433799317662162
43.35071	46.10925	Gudermes	RU	Europe/Moscow	3590433799317661248
53.63333	9.85	Halstenbek	DE	Europe/Berlin	3590433799317662162
45.44868	-73.81669	Pointe-Claire	CA	America/Toronto	3590433799317661800
6.03333	37.55	Arba Minch	ET	Africa/Addis_Ababa	3590433799317662378
34.06635	-84.67837	Acworth	US	America/New_York	359043379931766726
-10.91111	-37.07167	Aracaju	BR	America/Maceio	3590433799317661768
58.1908	40.17171	Danilov	RU	Europe/Moscow	3590433799317662485
7.57944	-8.53778	New Yekepa	LR	Africa/Monrovia	359043379931766429
21.59983	71.21169	Amreli	IN	Asia/Kolkata	359043379931766254
37.13548	-3.67029	Las Gabias	ES	Europe/Madrid	863033069630348743
47.98372	10.18527	Memmingen	DE	Europe/Berlin	3590433799317662030
48.98693	2.44892	Gonesse	FR	Europe/Paris	359043379931766015
45.78071	12.84052	Portogruaro	IT	Europe/Rome	8630330696303481370
30.21121	74.4818	Malaut	IN	Asia/Kolkata	3590433799317662204
22.37066	114.10479	Tsuen Wan	HK	Asia/Hong_Kong	863033069630348826
42.64031	125.51176	Dongfeng	CN	Asia/Shanghai	8630330696303481578
14.95472	120.89694	Baliuag	PH	Asia/Manila	3590433799317662071
35.815	139.6853	Shimotoda	JP	Asia/Tokyo	359043379931766494
53.30972	83.62389	Novosilikatnyy	RU	Asia/Barnaul	8630330696303481693
3.7278	98.6738	Labuhan Deli	ID	Asia/Jakarta	3590433799317662279
40.5576	-74.28459	Woodbridge	US	America/New_York	3590433799317661057
30.75545	20.22625	Ajdabiya	LY	Africa/Tripoli	359043379931766999
43.11667	1.6	Pamiers	FR	Europe/Paris	3590433799317661685
37.65181	120.33063	Longgang	CN	Asia/Shanghai	863033069630348610
32.87533	71.57118	Daud Khel	PK	Asia/Karachi	3590433799317661107
40.5576	-74.28459	Woodbridge	US	America/New_York	3590433799317661214
37.30553	120.82747	Zhuangyuan	CN	Asia/Shanghai	3590433799317662196
20.88953	-156.47432	Kahului	US	Pacific/Honolulu	863033069630348545
22.49396	-105.36369	Acaponeta	MX	America/Mazatlan	863033069630348362
4.96667	10.7	Tonga	CM	Africa/Douala	359043379931766627
47.64995	-117.23991	Opportunity	US	America/Los_Angeles	3590433799317661081
27.55898	68.21204	Larkana	PK	Asia/Karachi	863033069630348776
41.54566	-71.29144	Middletown	US	America/New_York	8630330696303481552
36.65	138.31667	Suzaka	JP	Asia/Tokyo	8630330696303482345
-4.83	29.65806	Mwandiga	TZ	Africa/Dar_es_Salaam	8630330696303482436
8.88649	2.59753	Tchaourou	BJ	Africa/Porto-Novo	3590433799317661933
25.80565	68.49143	Bhit Shah	PK	Asia/Karachi	8630330696303481164
37.05944	37.3825	Gaziantep	TR	Europe/Istanbul	863033069630348230
16.0438	120.4861	Manaoag	PH	Asia/Manila	359043379931766999
34.81667	137.4	Toyokawa	JP	Asia/Tokyo	863033069630348941
41.1053	-7.32097	Custoias	PT	Europe/Lisbon	3590433799317662162
45.9836	12.70038	Cordenons	IT	Europe/Rome	3590433799317661826
21.59983	71.21169	Amreli	IN	Asia/Kolkata	863033069630348826
14.53767	46.83187	Ataq	YE	Asia/Aden	863033069630348198
5.84752	-5.682	Lakota	CI	Africa/Abidjan	3590433799317662410
49.88307	-119.48568	Kelowna	CA	America/Vancouver	359043379931766692
51.39323	0.47713	Strood	GB	Europe/London	8630330696303482337
16.68911	98.50893	Myawadi	MM	Asia/Yangon	3590433799317661321
54.48147	53.47103	Oktyabr‚Äôskiy	RU	Asia/Yekaterinburg	359043379931766031
47.98372	10.18527	Memmingen	DE	Europe/Berlin	8630330696303481222
37.73604	-120.93549	Riverbank	US	America/Los_Angeles	8630330696303481230
40.1675	34.37389	Sungurlu	TR	Europe/Istanbul	3590433799317661008
45.73333	4.91667	Bron	FR	Europe/Paris	359043379931766627
42.64685	-5.55835	Villaquilambre	ES	Europe/Madrid	3590433799317661164
41.48199	-81.79819	Lakewood	US	America/New_York	8630330696303481024
38.96667	-0.18333	Gandia	ES	Europe/Madrid	3590433799317661073
6.8485	3.64633	Shagamu	NG	Africa/Lagos	863033069630348669
43.83125	5.03586	Cavaillon	FR	Europe/Paris	8630330696303481958
-2.13404	-79.59415	Milagro	EC	America/Guayaquil	8630330696303481982
32.54278	111.50861	Danjiangkou	CN	Asia/Shanghai	359043379931766858
47.80527	-122.24064	Bothell West	US	America/Los_Angeles	3590433799317661792
50.80019	7.20769	Siegburg	DE	Europe/Berlin	8630330696303482311
53.19146	-2.52398	Winsford	GB	Europe/London	8630330696303481206
51.78967	1.15597	Clacton-on-Sea	GB	Europe/London	3590433799317661842
38.68712	-4.10734	Puertollano	ES	Europe/Madrid	359043379931766825
28.92694	78.23456	Bachhraon	IN	Asia/Kolkata	8630330696303482006
50.75767	-1.5443	Lymington	GB	Europe/London	8630330696303482444
50.75767	-1.5443	Lymington	GB	Europe/London	8630330696303481735
51.14942	15.00835	Zgorzelec	PL	Europe/Warsaw	359043379931766130
44.35056	142.45778	Nayoro	JP	Asia/Tokyo	863033069630348107
42	21.32778	Saraj	MK	Europe/Skopje	3590433799317661412
11.8659	34.3869	Ar Ruseris	SD	Africa/Khartoum	863033069630348263
-34.88422	150.60036	Nowra	AU	Australia/Sydney	3590433799317661834
35.8	137.23333	Gero	JP	Asia/Tokyo	863033069630348198
32.5007	-94.74049	Longview	US	America/Chicago	3590433799317661750
33.14447	47.3799	Darreh Shahr	IR	Asia/Tehran	359043379931766858
6.33444	124.95278	Tupi	PH	Asia/Manila	3590433799317662238
-38.65333	178.00417	Gisborne	NZ	Pacific/Auckland	8630330696303481628
47.05	15.46667	Sankt Peter	AT	Europe/Vienna	3590433799317661982
37.30553	120.82747	Zhuangyuan	CN	Asia/Shanghai	8630330696303481982
30.21121	74.4818	Malaut	IN	Asia/Kolkata	359043379931766700
18.51957	73.85535	Pune	IN	Asia/Kolkata	359043379931766015
42.50729	1.53414	les Escaldes	AD	Europe/Andorra	863033069630348917
54.52156	9.5586	Schleswig	DE	Europe/Berlin	8630330696303481404
41.14676	-73.49484	New Canaan	US	America/New_York	359043379931766239
32.54044	-82.90375	Dublin	US	America/New_York	359043379931766684
55.82737	-4.0573	Viewpark	GB	Europe/London	863033069630348776
34.81667	137.4	Toyokawa	JP	Asia/Tokyo	863033069630348032
42.97086	-82.42491	Port Huron	US	America/Detroit	3590433799317661685
48.77644	2.29026	Sceaux	FR	Europe/Paris	863033069630348743
53.53395	33.72798	Zhukovka	RU	Europe/Moscow	359043379931766874
33.54428	-84.23381	Stockbridge	US	America/New_York	3590433799317661974
-2.90055	-79.00453	Cuenca	EC	America/Guayaquil	359043379931766718
-22.92306	-53.13722	Loanda	BR	America/Sao_Paulo	8630330696303482402
53.30972	83.62389	Novosilikatnyy	RU	Asia/Barnaul	8630330696303481339
32.44874	-99.73314	Abilene	US	America/Chicago	3590433799317661180
37.30553	120.82747	Zhuangyuan	CN	Asia/Shanghai	863033069630348248
35.72917	10.58082	Msaken	TN	Africa/Tunis	3590433799317662410
-28.24	-48.67028	Imbituba	BR	America/Sao_Paulo	3590433799317662402
39.78504	-85.76942	Greenfield	US	America/Indiana/Indianapolis	359043379931766833
19.21667	73.08333	Dombivli	IN	Asia/Kolkata	359043379931766676
53.53041	43.67663	Nizhniy Lomov	RU	Europe/Moscow	3590433799317662394
25.49043	85.94001	Teghra	IN	Asia/Kolkata	8630330696303482204
51.78771	56.36091	Saraktash	RU	Asia/Yekaterinburg	359043379931766775
48.46458	9.22796	Pfullingen	DE	Europe/Berlin	8630330696303482071
49.65186	26.97253	Krasyliv	UA	Europe/Kyiv	8630330696303481230
6.46346	-2.31938	Bibiani	GH	Africa/Accra	359043379931766882
38.58894	-89.99038	Fairview Heights	US	America/Chicago	3590433799317661107
53.83333	-2.98333	Poulton-le-Fylde	GB	Europe/London	8630330696303482253
49.68369	8.61839	Bensheim	DE	Europe/Berlin	3590433799317662253
54.39304	53.26023	Bavly	RU	Europe/Moscow	359043379931766957
35.30889	139.55028	Kamakura	JP	Asia/Tokyo	863033069630348974
48.79325	2.29275	Fontenay-aux-Roses	FR	Europe/Paris	8630330696303482055
49.03685	8.70745	Bretten	DE	Europe/Berlin	359043379931766684
33.52253	-117.70755	Laguna Niguel	US	America/Los_Angeles	3590433799317661958
41.72063	12.6723	Ariccia	IT	Europe/Rome	8630330696303481024
45.44868	-73.81669	Pointe-Claire	CA	America/Toronto	359043379931766916
24.81757	84.63445	Rafiganj	IN	Asia/Kolkata	359043379931766049
33.52253	-117.70755	Laguna Niguel	US	America/Los_Angeles	3590433799317661107
45.40008	-73.58248	Sainte-Catherine	CA	America/Toronto	3590433799317662428
50.9803	11.32903	Weimar	DE	Europe/Berlin	8630330696303482261
49.88307	-119.48568	Kelowna	CA	America/Vancouver	3590433799317661800
20.74122	-100.44843	Santa Rosa Jauregui	MX	America/Mexico_City	359043379931766072
33.98154	-81.23621	Lexington	US	America/New_York	8630330696303481842
36	139.55722	Okegawa	JP	Asia/Tokyo	863033069630348834
42.64685	-5.55835	Villaquilambre	ES	Europe/Madrid	3590433799317662048
23.0072	-82.4017	Boyeros	CU	America/Havana	359043379931766049
31.12406	-97.90308	Copperas Cove	US	America/Chicago	359043379931766130
53.53395	33.72798	Zhukovka	RU	Europe/Moscow	8630330696303481107
54.8421	46.5813	Alatyr‚Äô	RU	Europe/Moscow	359043379931766718
33.03699	-117.29198	Encinitas	US	America/Los_Angeles	863033069630348222
14.8361	120.97844	Guyong	PH	Asia/Manila	3590433799317662170
39.78504	-85.76942	Greenfield	US	America/Indiana/Indianapolis	863033069630348354
33.76446	-117.79394	North Tustin	US	America/Los_Angeles	3590433799317661156
38.96372	-76.99081	Chillum	US	America/New_York	3590433799317662428
44.92934	37.99117	Krymsk	RU	Europe/Moscow	863033069630348651
14.46693	75.92694	Davangere	IN	Asia/Kolkata	359043379931766825
45.35	126.28333	Shuangcheng	CN	Asia/Shanghai	8630330696303481016
20.74122	-100.44843	Santa Rosa Jauregui	MX	America/Mexico_City	359043379931766304
35.85	117.7	Dongdu	CN	Asia/Shanghai	359043379931766031
11.8659	34.3869	Ar Ruseris	SD	Africa/Khartoum	359043379931766304
11.86064	9.0027	Gaya	NG	Africa/Lagos	8630330696303482311
35.48199	137.02166	Minokamo	JP	Asia/Tokyo	359043379931766924
41.82143	41.77921	Kobuleti	GE	Asia/Tbilisi	3590433799317661826
37.31065	13.57661	Agrigento	IT	Europe/Rome	8630330696303481776
49.183239	15.454273	Telč	CZ	Europe/Prague	3590433799317661610
51.65333	5.2875	Vught	NL	Europe/Amsterdam	3590433799317661727
35.95664	36.7138	Binnish	SY	Asia/Damascus	359043379931766072
-33.38056	-56.52361	Durazno	UY	America/Montevideo	3590433799317661081
35.50056	117.63083	Pingyi	CN	Asia/Shanghai	8630330696303482055
-8.99167	125.21972	Maliana	TL	Asia/Dili	863033069630348503
53.53395	33.72798	Zhukovka	RU	Europe/Moscow	359043379931766882
-25.42778	-49.27306	Curitiba	BR	America/Sao_Paulo	8630330696303481685
11.93381	79.82979	Puducherry	IN	Asia/Kolkata	3590433799317661255
10.98778	-74.95472	Puerto Colombia	CO	America/Bogota	8630330696303482063
27.9247	78.40102	Chharra	IN	Asia/Kolkata	8630330696303482345
9.58126	8.2926	Kafanchan	NG	Africa/Lagos	863033069630348206
-3.14306	-58.44417	Itacoatiara	BR	America/Manaus	863033069630348701
35.06667	135.21667	Sasayama	JP	Asia/Tokyo	8630330696303481834
-8.28333	-35.03333	Cabo	BR	America/Recife	8630330696303481255
29.65163	-82.32483	Gainesville	US	America/New_York	3590433799317662303
46.08333	122.08333	Ulanhot	CN	Asia/Shanghai	3590433799317662352
55.1904	30.2049	Vitebsk	BY	Europe/Minsk	863033069630348917
20.22816	-103.5687	Zacoalco de Torres	MX	America/Mexico_City	8630330696303481248
40.93121	-73.89875	Yonkers	US	America/New_York	863033069630348735
51.64316	-0.36053	Bushey	GB	Europe/London	863033069630348032
68.79833	16.54165	Harstad	NO	Europe/Oslo	8630330696303481438
45.44868	-73.81669	Pointe-Claire	CA	America/Toronto	863033069630348446
14.62578	121.12251	Antipolo	PH	Asia/Manila	8630330696303481123
35.25064	-91.73625	Searcy	US	America/Chicago	359043379931766536
13.56667	-15.6	Farafenni	GM	Africa/Banjul	863033069630348339
10.20898	123.758	Naga	PH	Asia/Manila	8630330696303482311
52.4581	13.28702	Dahlem	DE	Europe/Berlin	8630330696303482105
51.12794	4.21372	Temse	BE	Europe/Brussels	863033069630348628
13.70727	9.15013	Mirriah	NE	Africa/Niamey	359043379931766817
5.30383	-1.98956	Tarkwa	GH	Africa/Accra	359043379931766080
10.66668	-61.51889	Port of Spain	TT	America/Port_of_Spain	863033069630348644
33.43443	-5.22126	Azrou	MA	Africa/Casablanca	863033069630348487
52.09	5.23333	Zeist	NL	Europe/Amsterdam	8630330696303482279
40.65995	-111.99633	Kearns	US	America/Denver	863033069630348552
34.86472	117.55417	Zaozhuang	CN	Asia/Shanghai	3590433799317662006
35.05266	-78.87836	Fayetteville	US	America/New_York	8630330696303482071
41.55947	14.66737	Campobasso	IT	Europe/Rome	3590433799317661461
28.90054	-81.26367	Deltona	US	America/New_York	3590433799317661594
19.30157	72.85107	Bhayandar	IN	Asia/Kolkata	8630330696303481453
1.6	103.81667	Ulu Tiram	MY	Asia/Kuala_Lumpur	359043379931766056
22.10194	85.37752	Barbil	IN	Asia/Kolkata	359043379931766478
23.29549	113.82465	Licheng	CN	Asia/Shanghai	8630330696303481792
38.38479	-0.76773	Novelda	ES	Europe/Madrid	8630330696303481958
6.25947	102.05461	Tak Bai	TH	Asia/Bangkok	8630330696303481727
13.51825	99.95469	Damnoen Saduak	TH	Asia/Bangkok	8630330696303481446
36.27462	4.85668	Bordj Zemoura	DZ	Africa/Algiers	359043379931766163
19.32889	-99.32556	San Lorenzo Acopilco	MX	America/Mexico_City	3590433799317661057
53.7446	-0.33525	Kingston upon Hull	GB	Europe/London	3590433799317661297
41.57721	-93.71133	West Des Moines	US	America/Chicago	8630330696303481487
37.52487	-77.55777	Bon Air	US	America/New_York	3590433799317661040
50.74497	3.20639	Mouscron	BE	Europe/Brussels	3590433799317661990
48.43174	17.8031	Hlohovec	SK	Europe/Bratislava	8630330696303481826
6.33444	124.95278	Tupi	PH	Asia/Manila	8630330696303481057
43.86682	-79.2663	Markham	CA	America/Toronto	863033069630348701
51.88333	8.51667	Verl	DE	Europe/Berlin	863033069630348826
31.64615	120.74221	Changshu City	CN	Asia/Shanghai	359043379931766304
27.9247	78.40102	Chharra	IN	Asia/Kolkata	3590433799317662352
50.86079	17.4674	Brzeg	PL	Europe/Warsaw	8630330696303481156
18.51957	73.85535	Pune	IN	Asia/Kolkata	3590433799317662279
-21.15	46.58333	Ikalamavony	MG	Indian/Antananarivo	8630330696303482253
34.31	-2.16	Jerada	MA	Africa/Casablanca	8630330696303482410
14.93333	-91.11667	Chichicastenango	GT	America/Guatemala	3590433799317661016
-15.675	-38.94722	Canavieiras	BR	America/Bahia	8630330696303482030
42.67164	14.01481	Roseto degli Abruzzi	IT	Europe/Rome	863033069630348032
32.50611	120.14278	Jiangyan	CN	Asia/Shanghai	863033069630348602
14.62072	74.83554	Sirsi	IN	Asia/Kolkata	863033069630348644
43.1122	12.38878	Perugia	IT	Europe/Rome	3590433799317661552
41.15376	-87.88754	Bourbonnais	US	America/Chicago	8630330696303482071
43.96222	43.63417	Novopavlovsk	RU	Europe/Moscow	359043379931766049
48.52961	12.16179	Landshut	DE	Europe/Berlin	359043379931766635
22.88783	84.13864	Jashpurnagar	IN	Asia/Kolkata	3590433799317661958
1.6561	103.6032	Kulai	MY	Asia/Kuala_Lumpur	863033069630348982
20.21322	-100.88023	Salvatierra	MX	America/Mexico_City	3590433799317661479
48.812737	14.317466	Český Krumlov	CZ	Europe/Prague	8630330696303481420
46.32313	-0.45877	Niort	FR	Europe/Paris	8630330696303481669
45.44694	8.62118	Novara	IT	Europe/Rome	3590433799317661172
32.44874	-99.73314	Abilene	US	America/Chicago	8630330696303481024
14.8361	120.97844	Guyong	PH	Asia/Manila	8630330696303481305
27.92333	118.53333	Pucheng	CN	Asia/Shanghai	359043379931766726
41.15612	1.10687	Reus	ES	Europe/Madrid	8630330696303481792
